Sr No,date,startup,vertical,city,investors,round,amount
265,2018-05-16,mfine,Healthcare,Bengaluru,"Prime Venture Partners, Stellaris Venture Partners and Mayur Abhaya Srisrimal",Private Equity,4200000
266,2018-05-21,Rocketium,Technology,Bengaluru,Blume ventures,Seed/ Angel Funding,300000
267,2018-05-21,MilkBasket,Technology,Gurugram,"Kalaari Capital, Unilever Ventures and Blume Ventures",Private Equity,7000000
268,2018-05-22,Vola,Finance,Bengaluru,Credika and unnamed angel investors,Seed/ Angel Funding,500000
269,2018-05-22,Cashkumar,Consumer Internet,Bengaluru,LetsVenture,Seed/ Angel Funding,735000
270,2018-05-23,Edyoo,E-Commerce,Bengaluru,RS Shanbag,Seed/ Angel Funding,735000
271,2018-05-23,Aashiyaan,Finance,Kolkata,"Insistor, Oikocredit",Seed/ Angel Funding,2000000
272,2018-05-24,Smartivity,Ed-tech,Delhi,"Ashish Kacholi, S Chand Group",Seed/ Angel Funding,2000000
273,2018-05-24,Bonphulapl,Clean-tech,Delhi,Atul Gupta and Saurabh Rastogi,Seed/ Angel Funding,293000
274,2018-05-27,Acko,Consumer Internet,Mumbai,"Amazon, Ashish Dhawan, Catamaran Ventures, NR Narayana Murthy.",Seed/ Angel Funding,12000000
275,2018-05-28,HWell24,Healthcare,Mumbai,"Prashant Mehta, Mitali Pawar, Nikhil G and Bhavesh P, R Ranganathan, ONCOTRUST and Medintel Services Pvt. Ltd",Seed/ Angel Funding,200000
276,2018-05-29,Toffee,Consumer Internet,Gurugram,"Kalaari Capital, Omidyar Network and Accion Venture Labs",Seed/ Angel Funding,1500000
277,2018-05-29,Tonetag,Technology,Bengaluru,Amazon Inc. and Mastercard,Private Equity,8000000
278,2018-05-30,Events High,Consumer Internet,Bengaluru,Treebo,Private Equity,0
279,2018-05-30,Stellaps,Technology,Bengaluru,"IndusAge Partners, Bill & Melinda Gates Foundation, Qualcomm Venture, ABB Technology Ventures, Omnivore, Blume Ventures, Venture Highway and BEENEXT",Private Equity,14000000
280,2018-05-31,Credright,Consumer Internet,Hyderabad,"Accion Venture Lab, YourNest Venture Capital And Other Angel Investors",Seed/ Angel Funding,1300000
281,2018-02-04,Fitternity,Consumer Internet,Mumbai,"Exfinity Venture, Saha fund Partners, Arihant Patni of Patni Family Office, Anjali Bansal, Shardul Amarchand Mangaldas, Satish Khanna and Taparia family office.",Private Equity,2000000
282,2018-02-04,Synctag,Technology,Coimbatore,Subhkam Ventures and Mohit Khadaria,Seed / Angel Funding,307600
283,2018-02-04,Benepik,Technology,Gurugram,"Vishal Bali, Yogesh Misra, Thomas Assessments and others",Seed / Angel Funding,0
285,2018-04-04,Varthana,Finance,Bengaluru,"ChrysCapital, Existing investors, Elevar Equity, LGT Impact, Omidyar Network and Kaizen Private Equity also participated in the round",Private Equity,55000000
286,2018-05-04,IndigoLearn,Ed-Tech,Hyderabad,"Maheshwar Peri, founder and chairman of career information portal Careers360, and Jamshed Jeejeebhoy, director at Byramjee Jeejeebhoy Pvt. Ltd were among the angels",Seed / Angel Funding,150000
287,2018-05-04,Vedantu,Ed-Tech,Bangalore,"Accel Partners, Tiger Global And Others",Private Equity,10000000
288,2018-09-04,Kaleidofin,Fiinance,Chennai,Omidyar Network. Blume Ventures and Professor Shlomo Ben-Haim,Seed / Angel Funding,2800000
289,2018-09-04,Pipabella,Consumer Internet,Mumbai,Fireside Ventures,Seed / Angel Funding,1000000
290,2018-09-04,Elemential,Technology,Mumbai,"Matrix Partner, Amrish Rau, Investopad, Digital Currency Group, Hinduja Group, Lightspeed India, Eight Innovate, Amit Ranjan, Prashant Malik and others",Seed / Angel Funding,0
292,2018-10-04,Loanzen,Finance,Bengaluru,Kae Capital Management,Seed / Angel Funding,0
293,2018-10-04,TravelTriangle,Consumer Internet,Gurugram,"Fundamentum, SAIF Partners, Bessemer Venture Partners, RB investments & Others",Private Equity,12000000
294,2018-12-04,Letsmd,Healthcare,Delhi,"SRI Capital, Waterbridge Ventures and ThinKuvate",Seed / Angel Funding,1000000
295,2018-12-04,AyeFinance,Finance,Gurugram,"BlueOrchard Finance Ltd, Hinduja Leyland Finance and IntelleGrow",Debt Funding,4600000
296,2018-04-13,mintifi,Finance,Mumbai,Lok Capital,Seed / Angel Funding,2000000
297,2018-04-16,icanstay,Consumer Internet,Delhi,Mr. Manoj Prasad,Seed / Angel Funding,500000
298,2018-04-16,Pregbuddy,Healthcare,Bengaluru,"Rajan Anandan, Madhusudhan Kannan, Jayant Kadambi, Puneet Gupta and Pradeep K Jaisingh",Seed / Angel Funding,0
299,2018-04-18,Coverfox,Consumer Internet,Mumbai,"International Finance Corporation, Transamerica and others.",Private Equity,22000000
300,2018-04-19,Lenskart,Consumer Internet,Faridabad,TR Capital,Private Equity,0
301,2018-04-19,mamaearth,Healthcare,Gurugram,Shilpa Shetty Kundra,Private Equity,0
302,2018-04-19,Fyle Technologies,Technology,Bengaluru,Pravega Ventures and Beenext,Seed / Angel Funding,1100000
303,2018-04-19,True Balance,Technology,Gurugram,"Line Ventures Corporation, Line Corp, Naver, Shinhan Bank and TS Investment",Private Equity,23000000
304,2018-04-22,Visit,Healthcare,Delhi,"Biz Stone, Kunal Bahl, Rohit Bansal, Alagu Periyannan and Karthee Madasamy",Private Equity,0
305,2018-04-22,Doxper,Healthcare,Mumbai,Vidal Healthcare,Seed / Angel Funding,1900000
306,2018-04-22,Nykaa,Consumer Internet,Mumbai,"Sunil Munjal, Harsh Mariwala, Dalip Pathak and Others",Private Equity,11000000
308,2018-04-23,Capital Float,Finance,Bengaluru,Amazon,Private Equity,22000000
309,2018-04-25,Trip shelf,Consumer Internet,Delhi,"GEMS Advisory, Alok Mittal and Sachin Bhatia",Seed / Angel Funding,246000
310,2018-04-26,POPxo,Technology,Delhi,"Neoplux, OPPO, IDG Ventures India, Kalaari Capital, GREE Ventures and Summit Media",Private Equity,5500000
311,2018-04-26,RailYatri,Consumer Internet,Noida,"Omidyar Network, Nandan Nilekani, Blume Ventures, Helion Venture Partners",Private Equity,0
312,2018-04-27,1mg,Consumer Internet,Gurugram,"Sequoia Capital, Maverick Capital Ltd and HBM Healthcare Investments Ltd",Private Equity,10000000
313,2018-04-29,Rubique,Consumer Internet,Mumbai,"Emery Capital, Blacksoil and Kalaari Capital",Private Equity,0
314,2018-04-30,Samco,Consumer Internet,Mumbai,Bay Capital Investments and Others,Private Equity,7500000
315,2018-04-30,MyLoanCare,Finance,Gurgaon,SAR Group,Seed / Angel Funding,978000
316,2018-01-03,PharmEasy,Consumer Internet,Mumbai,"Bessemer Venture Partners and Orios Venture Partners, JM Financials and MEMG",Private Equity,0
317,2018-01-03,Buddy4studdy,Consumer Internet,Noida,CBA Capital and others,Private Equity,3000000
318,2018-01-03,Urban Ladder,E-Commerce,Bengaluru,"Sequoia Capital, SAIF Partners and Kalaari capital",Private Equity,12000000
319,2018-03-03,Kuvera,Consumer Internet,Bengaluru,"Baskar Subramanian, Saket Kumar, Gaurav Suri and Ankit Kesarwani",Seed / Angel Funding,250000
320,2018-04-03,Gramophone,Technology,Indore,InfoEdge,Seed/Angel Funding,1000000
321,2018-05-03,Wellthy,Healthcare,Mumbai,"Ranjan Pai, Apoorva Patni, Beenext Ventures,GrowX Ventures",Private Equity,2100000
322,2018-05-03,MedGenome,Healthcare,Bengaluru,"HDFC Life, HDFC Asset Management",Private Equity,10000000
323,2018-05-03,Finova Capital,Consumer Internet,Jaipur,Sequoia Capital,Private Equity,6000000
324,2018-05-03,Hotelogix,Technology,Noida,"Vertex Ventures, Accel Partners and Saama Capital",Private Equity,5000000
325,2018-04-03,Livehealth,Consumer Internet,Pune,Nexus Venture Partners,Seed / Angel Funding,1100000
326,2018-06-03,Ad2pro,Technology,Chennai,Avendus Finance Pvt. Ltd,Debt Funding,9700000
327,2018-06-03,Coverfox,Consumer Internet,Mumbai,Aegon NV,Private Equity,7600000
328,2018-08-03,Pepperfry,Consumer Internet,Mumbai,State Street Global Advisors,Private Equity,38400000
329,2018-08-03,Magicpin,Consumer Internet,Gurugram,Trifecta Capital,Debt Funding,1000000
330,2018-12-03,HealthCare,Consumer Internet,Mumbai,HR Fund,Seed / Angel Funding,1000000
331,2018-03-13,PineLabs,Technology,Mumbai,"Actis, Altimeter Capital",Private Equity,82000000
332,2018-03-14,Stumagz,Consumer Internet,Hyderabad,"Venkat Subramanian, Sudhakar Pennam, and other tech investors from Silicon Valley",Seed / Angel Funding,0
333,2018-03-14,AvailFinance,Consumer Internet,Bengaluru,"Matrix Partners, Bhavish Aggarwal, Ankit Bhati, Binny Bansal, Kunal Shah and Manish Patel.",Private Equity,17200000
334,2018-03-15,Grofers,Consumer Internet,Gurugram,"SoftBank, Tiger Global and Apoletto Managers.",Private Equity,62000000
335,2018-03-19,Fingerlix,Consumer Internet,Mumbai,Alteria Capital,Debt Funding,1310000
336,2018-03-19,Karma Healthcare,Healthcare,Udaipur,"1Crowd, Ankur Capital",Seed / Angel Funding,500000
337,2018-03-19,Zappfresh,Food & Beverages,Gurugram,"Amit Burman, SIDBI Venture Capital",Seed / Angel Funding,3000000
338,2018-03-19,CustomerSucessBox,Technology,Gurugram,"Pi Ventures, Axilor Ventures",Seed / Angel Funding,1000000
340,2018-03-21,GigIndia,Consumer Internet,Pune,"Jessica Wong, Hiro Mashita, Xue Manzi and Yiyun Zhang.",Seed / Angel Funding,0
341,2018-03-22,Chargebee,Technology,Chennai,"Insight Venture Partners, Accel Partners and Tiger Global Management.",Private Equity,18000000
342,2018-03-22,i2i Funding,Consumer Internet,Noida,SucSEED Venture Partners,Seed / Angel Funding,768000
343,2018-03-22,Slang Labs,Technology,Bengaluru,Endiya Partners,Seed / Angel Funding,1240000
344,2018-03-22,UrbanPiper,Technology,Bengaluru,"Kumar Vembu, Axilor Ventures",Seed / Angel Funding,0
345,2018-03-26,Cash Suvidha,Consumer Internet,Delhi,"Initia Holdings,Vipin Agarwal and others.",Seed / Angel Funding,1000000
347,2018-03-28,Smartcoin,Finance,Bengaluru,"Accion Venture Lab, Unicorn India Ventures and ISME ACE.",Seed / Angel Funding,2000000
348,2018-03-27,The Print,Media,Delhi,Ratan Tata,Seed / Angel Funding,535000
349,2018-03-27,DriveU,Technology,Bengaluru,Amit Singhal and Unitus Seed Fund,Private Equity,3000000
350,2018-03-29,Fynd,Consumer Internet,Mumbai,"Google, Kae Capital, IIFL, Singularity Ventures, GrowX, Tracxn Labs, Venture Catalyst, Patni family office and Axis Capital.",Seed / Angel Funding,0
351,2018-01-02,BigBasket,Consumer Internet,Bengaluru,"Alibaba, Helion Venture Partners, Bessemer Venture Partners, Ascent Capital",Private Equity,300000000
352,2018-01-02,Zomato,Food and Beverages,Gurugram,Ant Financials,Private Equity,200000000
353,2018-05-02,Pratilipi,Publishing,Bengaluru,Omidyar Network,Private Equity,4300000
354,2018-05-02,Asia Institute Of Medical Science,Healthcare,Faridabad,CDC Group Plc,Private Equity,21000000
355,2018-05-02,CollegeDekho,Consumer Internet,Gurugram,"Man Capital LLP, Girnar Software, Others",Private Equity,2000000
356,2018-06-02,Foodmemories,Consumer Internet,Ahemdabad,"Bhavesh Manglani, Suraj Saharan, Darshan Upadhyay, Sanjay Notani & Others",Seed funding,0
357,2018-06-02,Healthi,Healthcare,Bengaluru,Montane Ventures,Private Equity,3100000
358,2018-07-02,Swiggy,Food and Beverages,Bengaluru,Naspers,Private Equity,100000000
359,2018-08-02,Shape,Healthcare,Pune,Sandeep Mathur,Seed / Angle Funding,100000000
360,2018-08-02,Icertis,Consumer Internet,Pune,Meritech Capital Partners,Private Equity,50000000
361,2018-09-02,healthifyme,Healthcare,Bengaluru,Sistema Asia Fund,Private Equity,12000000
362,2018-09-02,MedTel,Healthcare,Bhubaneswar,British and Indian Governments,Private Equity,0
363,2018-09-02,Rupeek,Consumer Internet,Bengaluru,"Accel Partners, Sequoia Capital",Private Equity,6830000
364,2018-09-02,WebEngage,Technology,Mumbai,Social Capital,Private Equity,0
365,2018-12-02,Lendingkart,Finance,Bengaluru,Fullerton Financial Holdings Pte Ltd & Others,Private Equity,87000000
366,2018-12-02,Wydr,Consumer Internet,Gurugram,"Bessemer Venture Partners, Stellaris Venture Partners, Axis Capital, Singapore, Jungle Venture Partners",Private Equity,0
367,2018-12-02,Cashify,E-Commerce,Gurugram,Trifecta Capital,Debt Funding,935089
368,2018-02-13,holachef,Food and Beverages,Mumbai,Ashok Kumar Gajera,Seed / Angle Funding,311200
369,2018-02-13,Awaaz De,Technology,Ahmedabad,Tribe Impact Capital LLP,Seed / Angle Funding,0
370,2018-02-13,IMAX Program,Ed-Tech,Bengaluru,"Michael & Susan Dell Foundation, LGT Impact Ventures",Private Equity,13500000
371,2018-02-14,Littlemore,Ed-Tech,Chennai,Kalpavriksh,Private Equity,3000000
372,2018-02-14,Toppr,Ed-Tech,Mumbai,Axis Capital Partners,Private Equity,100000
373,2018-02-14,Shirsa Labs,Ed-Tech,Mumbai,"Dewang Neralla, Mahesh Kothurkar,Atul Agarwal",Private Equity,500000
374,2018-02-14,MoneyOnMobile,Technology,Mumbai,S7 Group,Private Equity,5000000
375,2018-02-15,PetSutra,Consumer Internet,Gurugram,Michael Patrick Hickey,Seed / Angel Funding,148434
376,2018-02-15,Infibeam,E-Commerce,Ahemadabad,Network 18,Private Equity,6230000
377,2018-02-16,happay,Finance,Bengaluru,Sequoia and Jerry Yang,Seed / Angel Funding,250000
378,2018-02-16,Fincash,Finance,Mumbai,"Mohammed Khan, Sameer Narayan & Others",Seed / Angel Funding,150000
379,2018-02-19,AyeFinance,Finance,Gurugram,"Hinduja Leyland Finance, IntelleGrow",Private Equity,3800000
380,2018-02-20,Agricxlab,Agriculture,Mumbai,Ankur Capital,Seed / Angel Funding,500000
381,2018-02-21,Udaan,E-Commerce,Bengaluru,Lightspeed & Yuri Milner,Private Equity,50000000
382,2018-02-21,Capillary,IT,Bengaluru,"Wargburg Pincus, Sequoia",Private Equity,20000000
383,2018-02-21,The Healthy Billions,Healthcare,Gurugram,"Blume Ventures, HealthQuad and Fireside Ventures",Private Equity,2100000
384,2018-02-21,HighRadius,Technology,Hyderabad,"PNC, Citi Ventures",Private Equity,0
385,2018-02-26,Avishkaar Box,Ed-Tech,Delhi,Auxano Deals,Private Equity,772500
386,2018-02-26,Planys Technologies,Technology,Chennai,"Kris Gopalakrishnan, Pratithi Investment Trust, MEMG Family Office, S Gopal",Private Equity,1040000
387,2018-02-27,Lollypop,Technology,Bengaluru,Dr Devi Shetty,Seed / Angel Funding,0
388,2018-02-27,Trilyo,Technology,Mumbai,"Startup Buddy,Amit Manocha and others",Seed / Angel Funding,250000
389,2018-02-28,Gaana,Technology,Gurugram,"Tencent Holdings Ltd, Times Internet",Private Equity,115000000
390,2018-02-28,Credy,IT,Bengaluru,"Y Combinator, Khosla Ventures, Vy Capital and others",Seed / Angel Funding,1400000
391,2018-02-28,Predible Health,Healthcare,Bengaluru,Unitus Seed Fund,Seed/Angel Funding,0
392,2018-02-01,CleverTap,Technology,Mumbai,"Recruit Holdings, Sequoia Capital India, Accel Partners",Angel / Seed Funding,0
393,2018-04-01,EarlySalary,Finance,Pune,Eight Roads Ventures India,Private,15700000
394,2018-05-01,WOTU,E-commerce,Bengaluru,"Claris Capital, Mumbai Angels Network",Angel / Seed Funding,0
395,2018-08-01,DAAKI,E-commerce,Bengaluru,Rohan Agila,Angel / Seed Funding,0
396,2018-09-01,Lendingkart,Finance,Ahmedabad,Nederlandse Financierings-Maatschappij voor Ontwikkelingslanden N.V.,Debt Funding,4700000
398,2018-10-01,Tapzo,Technology,Bengaluru,RuNet & Other,Private Equity,1930000
399,2018-10-01,Appario Retail Pvt Ltd.,E-commerce,Delhi,Amazon-Patni JV,Private Equity,18840000
400,2018-10-01,Samunnati,Finance,Chennai,"responsAbility, Elevar Equity and Accel Partners",Private Equity,23500000
401,2018-10-01,Sahajanand Medical Technologies,Technology,Surat,Morgan Stanley Private Equity Asia,Private Equity,36230000
402,2018-12-01,Kuants,Technology,Gurgaon,"Pankaj Chopra, Ankush Gupta",Angel / Seed Funding,80000
403,2018-12-01,Razorpay,Technology,Bengaluru,"Tiger Global, Y Combinator",Private Equity,20000000
404,2018-01-15,Streak,Technology,Bengaluru,"Indian fintech fund, Rainmatter",Angel / Seed Funding,354600
405,2018-01-15,pi Ventures,Finance,Bengaluru,"Sunil Kant Munjal, Hero Electronix\\xe2\\x80\\x99s corporate financing arm, Electronic Development Fund",Private Equity,25000000
406,2018-01-15,Newgen Software,Technology,New Delhi,"Goldman Sachs, hedge fund & Others",Private Equity,20000000
407,2018-01-17,Rubix,Technology,Pune,Polaris Fund,Private Equity,1000000
408,2018-01-18,ShareChat,Technology,Bengaluru,"Xiaomi Singapore, Shunwei Capital",Private Equity,18200000
409,2018-01-22,Paperflite,Technology,Chennai,The Chennai Angels,Angel / Seed Funding,400000
410,2018-01-22,HungerBox,Consumer Internet,Bangalore,Lionrock Capital,Private Equity,2500000
411,2018-01-22,Skillate,Technology,Bengaluru,"Incubate Fund India, Anuj Agrawal",Private Equity,0
412,2018-01-22,OptaCredit,Finance,Chennai,DMI Finance,Private Equity,4000000
413,2018-01-22,AEON Learning,Technology,Bengaluru,Dr. Ranjan Pai,Private Equity,3200000
414,2018-01-23,Milkbasket,E-commerce,Gurugram,Unilever Ventures,Private Equity,3000000
415,2018-01-24,NeoGrowth Credit,Finance,Mumbai,"LeapFrog Investments, Aspada Investment, Quona Capital",Private Equity,47000000
416,2018-01-24,Rao IIT Academy,Education,Mumbai,Avendus Finance,Structured Debt,8600000
417,2018-01-24,Aye Finance,Finance,Gurugram,IFMR Capital,Term Loan,6240000
418,2018-01-25,Glassic,Ecommerce,Bengaluru,"Chennai Angels, Lead Angels, LetsVenture",Angel / Seed Funding,0
419,2018-01-25,GreyAtom,Technology,Mumbai,Pravega Ventures,Private Equity,1000000
420,2018-01-26,Axio,Healthcare,Bengaluru,RNT Capital,Private Equity,7400000
421,2018-01-29,eKincare,Healthcare,Hyderabad,"Ventureast, Endiya Partners, Eight Roads Ventures, Touchstone Equities, BVR Mohan Reddy",Private Equity,1500000
422,2018-01-29,The Wedding Brigade,Consumer internet,Mumbai,Blume Ventures,Private Equity,1000000
423,2018-01-30,PeeSafe,Healthcare,Gurugram,"Shivani Singh, Rahul Maroli, Mitesh Shah, Venture Catalysts, Alfa Capital, Green Shots Capital, Real Time Ventures.",Private Equity,1000000
424,2018-01-30,BrowserStack,Technology,Mumbai,Accel Partners,Private Equity,50000000
425,2018-01-30,Scapic,Technology,Bengaluru,"Axilor Ventures, Newfort Capital",Angel / Seed Funding,500000
426,2018-01-30,MoneyOnMobile,Technology,Mumbai,Undisclosed Investors,Private Equity,7600000
427,2018-01-30,CureFit,Healthcare,Bengaluru,"HDFC Bank, Axis Bank",Debt Funding,10000000
428,2018-01-31,iNurture,Technology,Bengaluru,Ventureast,Private Equity,4400000
429,2017-01-12,Strata Enviro,Technology,Mumbai,Scale Minds,Private Equity,0
430,2017-05-12,Dunzo,Technology,Bangalore,Google,Private Equity,12300000
431,2017-05-12,Tata Housing,Real Estate,Mumbai,Hines,Private Equity,23000000
432,2017-05-12,HandyTrain,Technology,Goa,NB Ventures,Private Equity,1000000
433,2017-05-12,Mobycy,Technology,Gurgaon,Undisclosed Investors,Seed/Angel Funding,500000
434,2017-06-12,Greenlight Planet,Technology,Mumbai,"Apis Partner, Eight Roads Ventures, Bamboo Capital Partners",Private Equity,60000000
435,2017-06-12,Fintobox,Technology,Chennai,Lightbox,Private Equity,7000000
436,2017-07-12,Mswipe,Technology,Mumbai,Eduardo Saverin,Private Equity,10000000
437,2017-07-12,The Label Life,E-Commerce,Mumbai,Kalpvriksh,Private Equity,3100000
438,2017-07-12,Cygnus Hospitals,Healthcare,Gurgaon,Somerset Indus Capital Ventures,Seed/Angel Funding,750000
439,2017-07-12,eShakti,Ecommerce,Chennai,IDG Ventures,Debt Funding,2300000
440,2017-08-12,Inshorts,Technology,Noida,Tiger Global,Private Equity,5000000
441,2017-11-12,Vahdam Tea,E-Commerce,Delhi,"Singapore Angel Network, Mumbai Angel",Private Equity,1500000
